"Category","Notice_type","Notice_desc","Company_name","Company_number","Date","notice_id"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for GRAVITIS UK LTD (06417347)","GRAVITIS UK LTD","06417347",2020-03-11,"3520657"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CROESUS RCA LIMITED (04359573)","IN THE MATTER OF THE INSOLVENCY ACT 1986","04359573",2020-03-11,"3520658"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for WHARF CONSULTING LIMITED (08128481)","WHARF CONSULTING LIMITED","08128481",2020-03-11,"3520659"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for JM CONSULTING SEARCH HOLDINGS LIMITED (07820975)","JM CONSULTING SEARCH HOLDINGS LIMITED","07820975",2020-03-11,"3520660"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ADVANCED+ CARPENTRY LIMITED (09988454)","ADVANCED+ CARPENTRY LIMITED","09988454",2020-03-11,"3520684"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for AMIMED DIRECT LIMITED (03013405)","AMIMED DIRECT LIMITED","03013405",2020-03-11,"3520685"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for OCEANWIDE SEAFOOD LIMITED (03749024)","OCEANWIDE SEAFOOD LIMITED","03749024",2020-03-11,"3520686"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ATTRAMO SERVICES LIMITED (11923136)","ATTRAMO SERVICES LIMITED","11923136",2020-03-11,"3520691"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for TOUCHCOMMERCE LIMITED (06538094)","TOUCHCOMMERCE LIMITED","06538094",2020-03-11,"3520713"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MYAKKA LTD (04592999)","MYAKKA LTD","04592999",2020-03-11,"3520741"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for VEKS SOLUTIONS LTD (10492548)","VEKS SOLUTIONS LTD","10492548",2020-03-11,"3520744"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MALBEC CONSULTING LIMITED (11470094)","MALBEC CONSULTING LIMITED","11470094",2020-03-11,"3520751"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for LIFE CONSTRUCTION MANAGEMENT LIMITED (05099814)","LIFE CONSTRUCTION MANAGEMENT LIMITED","05099814",2020-03-11,"3520755"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for KENNEDY CM SERVICES LIMITED (09107052)","KENNEDY CM SERVICES LIMITED","09107052",2020-03-11,"3520762"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for R SHIVHARE & CO LLC LIMITED (10889719)","R SHIVHARE & CO LLC LIMITED","10889719",2020-03-11,"3520765"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for NOVELTY (UK) LIMITED (09227357)","NOVELTY (UK) LIMITED","09227357",2020-03-11,"3520770"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MARKETCELLS LIMITED (05605101)","MARKETCELLS LIMITED","05605101",2020-03-11,"3520774"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ISHAAN CONSULTING LIMITED (09355503)","ISHAAN CONSULTING LIMITED","09355503",2020-03-11,"3520839"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SUSTAINABLE STRATEGIES LIMITED (06774811)","SUSTAINABLE STRATEGIES LIMITED","06774811",2020-03-11,"3520842"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for FLAWLESS (UK) LIMITED (08778889)","FLAWLESS (UK) LIMITED","08778889",2020-03-11,"3520848"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for T.L.WINWOOD LIMITED (00547102)","T.L.WINWOOD LIMITED","00547102",2020-03-11,"3520853"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MARK TURPITT CARS LIMITED  (04775077)","MARK TURPITT CARS LIMITED ","04775077",2020-03-11,"3520857"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ZEST INFOSOLUTION LIMITED (09888529)","ZEST INFOSOLUTION LIMITED","09888529",2020-03-11,"3520861"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ALAN MAKER ELECTRICAL SERVICES LIMITED  (08666497)","ALAN MAKER ELECTRICAL SERVICES LIMITED ","08666497",2020-03-11,"3520862"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for WATCHTOWER SOLUTIONS LIMITED (05317311)","WATCHTOWER SOLUTIONS LIMITED","05317311",2020-03-11,"3520866"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for WORKSHOP HR SOLUTIONS LIMITED (10460796)","WORKSHOP HR SOLUTIONS LIMITED","10460796",2020-03-11,"3520874"
