"Category","Notice_type","Notice_desc","Company_name","Company_number","Date","notice_id"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for IT CRAFTSMANSHIP LTD (10025420)","IT CRAFTSMANSHIP LTD","10025420",2020-03-13,"3525836"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for HIA TRADING LTD (11259076)","HIA TRADING LTD","11259076",2020-03-13,"3525838"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for INSIJT CONSULTING SERVICES LIMITED (10113364)","INSIJT CONSULTING SERVICES LIMITED","10113364",2020-03-13,"3525840"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for GOODNESS BAKED LTD (11224784)","GOODNESS BAKED LTD","11224784",2020-03-13,"3525841"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for EMC ADVERTISING GIFTS LTD (07096477)","EMC ADVERTISING GIFTS LTD","7096477",2020-03-13,"3525850"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for PAR DENTAL LIMITED (02335385)","PAR DENTAL LIMITED","2335385",2020-03-13,"3525851"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ATHIRA CONSULTANCY LTD (08581450)","ATHIRA CONSULTANCY LTD","8581450",2020-03-13,"3525852"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SAMM GROUP LTD (11237313)","SAMM GROUP LTD","11237313",2020-03-13,"3525854"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for S V JONES EDUCATIONAL CONSULTING LIMITED (09174300)","S V JONES EDUCATIONAL CONSULTING LIMITED","9174300",2020-03-13,"3525855"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for BETA PI LIMITED (10538659)","BETA PI LIMITED","10538659",2020-03-13,"3525858"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MARINA LOGIC LIMITED (06684699)","MARINA LOGIC LIMITED","6684699",2020-03-13,"3525860"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CLEAN MACHINE RESIDENTIAL LIMITED (02630009)","CLEAN MACHINE RESIDENTIAL LIMITED","2630009",2020-03-13,"3525863"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for K CARRUTHERS SOLUTIONS LTD (09686483)","K CARRUTHERS SOLUTIONS LTD","9686483",2020-03-13,"3525864"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CARLY BARNES & CO LIMITED (07187846)","CARLY BARNES & CO LIMITED","7187846",2020-03-13,"3525870"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DAHY LIMITED (09839454)","DAHY LIMITED","9839454",2020-03-13,"3525874"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SPARK*LONDON LTD (09530200)","SPARK*LONDON LTD","9530200",2020-03-13,"3525877"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MEDIA LEGAL SERVICES LIMITED (04699116)","MEDIA LEGAL SERVICES LIMITED","4699116",2020-03-13,"3525880"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for TOOPLE CONSULTING LTD (10177062)","TOOPLE CONSULTING LTD","10177062",2020-03-13,"3525883"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for LBF DEVELOPMENTS LTD (09637463)","LBF DEVELOPMENTS LTD","9637463",2020-03-13,"3525897"
